bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	analyte_type_id	bcr_analyte_uuid	concentration	gel_image_file	normal_tumor_genotype_match	pcr_amplification_successful	spectrophotometer_method	well_number	ratio_28s_18s	rinvalue
TCGA-02-0023-01B	TCGA-02-0023-01B-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	c286c958-2a88-4938-902c-657a705b1fb9	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01R	1.80	62 uL	RNA	R	4fa18271-61cc-4aff-82aa-c55df7f93a58	0.167 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.2
TCGA-02-0023-01B	TCGA-02-0023-01B-01T	[Pending]	10 uL	Total RNA	T	4831fdfa-9b80-4353-a046-44face8a088f	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	7b4f0b44-f522-445d-bc02-1ebd6b3b49a7	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01D	1.90	0 uL	DNA	D	73968c75-e5df-4d11-92b4-16cd1997b854	0.040 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01G	1.8	40 uL	GenomePlex (Rubicon) Amplified DNA	G	5a8b393b-c3ee-4ebf-968f-476afbd78b78	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	5ace39f6-8675-4d06-aafa-dff186c1d537	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0039-01A	TCGA-02-0039-01A-01D	1.89	0 uL	DNA	D	fc032ced-186b-4cf3-b638-bd779199ea30	0.330 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0039-01A	TCGA-02-0039-01A-01G	1.9	2 uL	GenomePlex (Rubicon) Amplified DNA	G	c25977ed-dd4b-451d-b614-58d1b2620f52	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0039-01A	TCGA-02-0039-01A-01R	1.80	32 uL	RNA	R	0fa0fe8f-3ee8-4446-af68-764f9c1fdd09	0.164 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.5
TCGA-02-0039-01A	TCGA-02-0039-01A-01T	[Pending]	9 uL	Total RNA	T	8e2846a4-d627-4082-9a51-460f9dbccf2f	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0039-01A	TCGA-02-0039-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	72c79986-5fb7-4bc0-8688-81e44c6ee40c	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0039-10A	TCGA-02-0039-10A-01D	1.90	0 uL	DNA	D	5a15d7bf-6f0b-45cf-8e8c-ff55548a559e	0.080 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0039-10A	TCGA-02-0039-10A-01G	1.8	40 uL	GenomePlex (Rubicon) Amplified DNA	G	04ab06fc-9a50-4945-91b7-3230c0d65db2	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0039-10A	TCGA-02-0039-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	a973d0e2-a908-4963-8874-c2675dc03a00	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0360-01A	TCGA-08-0360-01A-01D	1.89	439 uL	DNA	D	2a37ca4c-86ab-4c93-b5f3-da2fd61d85ec	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0360-01A	TCGA-08-0360-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	e52df41e-7e88-4784-a158-70d23b848f71	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0360-01A	TCGA-08-0360-01A-01R	1.80	171 uL	RNA	R	2a108c88-48d5-45ee-b799-d4c49174eb5f	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.4	7.5
TCGA-08-0360-01A	TCGA-08-0360-01A-01T	[Pending]	14 uL	Total RNA	T	c9d619e6-ce10-4288-b44c-99b7b51afa79	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0360-01A	TCGA-08-0360-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	898f07bb-d542-433d-baae-25a37fc4237d	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0360-11A	TCGA-08-0360-11A-01D	1.80	5 uL	DNA	D	e4c1468c-c249-497b-89aa-ba2cd30a1545	0.050 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0360-11A	TCGA-08-0360-11A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	265e7df4-82ff-465c-ad94-96e33e64377f	0.18 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0360-11A	TCGA-08-0360-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	7adab004-f9e6-49f7-9490-5a1c154b67b9	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01D	1.87	0 uL	DNA	D	9c96407e-b6b3-424e-bc73-034c7df4e551	0.520 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	49b8fa57-2bb2-405d-86a7-d2375de4b417	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01R	1.80	132 uL	RNA	R	288fd7da-31d5-421e-8f45-056fe914b8b9	0.163 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.2	8.3
TCGA-02-0026-01B	TCGA-02-0026-01B-01T	[Pending]	10 uL	Total RNA	T	872e6c6e-3250-4e28-b375-342f50a73f78	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	ef52bd36-450d-4cda-ada1-9bd1eb3aa143	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01D	1.90	0 uL	DNA	D	1c55b926-4eeb-4dc2-8a1b-894275ac4876	0.070 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	9bd61dc8-a66b-4611-8b18-eeba2ffb1570	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	c46bc770-b531-422f-b25e-bf021f6cc8a4	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0245-01A	TCGA-08-0245-01A-01D	1.87	223 uL	DNA	D	630bce07-880f-4aea-9d02-162c66928eb4	0.200 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0245-01A	TCGA-08-0245-01A-01G	1.9	106.7 uL	GenomePlex (Rubicon) Amplified DNA	G	5bbc4302-2daa-400b-81f2-1e3e2887b7cc	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0245-01A	TCGA-08-0245-01A-01R	1.80	204 uL	RNA	R	f8b241cc-8c0a-4800-88cb-7f0f7594e7e4	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.4	8.9
TCGA-08-0245-01A	TCGA-08-0245-01A-01T	[Pending]	29 uL	Total RNA	T	04f51358-7321-4b1e-bd25-be15d6897868	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0245-01A	TCGA-08-0245-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e73abafe-8bbf-4e2e-a21a-336218723185	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0245-11A	TCGA-08-0245-11A-01D	1.60	0 uL	DNA	D	57be1aff-0605-478a-82fa-a3d9e03ac62b	0.030 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0245-11A	TCGA-08-0245-11A-01G	1.9	106.7 uL	GenomePlex (Rubicon) Amplified DNA	G	609c3418-daa2-4bab-84f2-e122876ae5fd	0.18 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0245-11A	TCGA-08-0245-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	5bb3b684-28f4-4202-80a9-934003aedaa3	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0068-01A	TCGA-02-0068-01A-01D	1.91	52 uL	DNA	D	c9a01b6d-785d-4643-a7a3-afe3764d572f	0.550 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0068-01A	TCGA-02-0068-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	2929d4b5-7d9e-407a-9291-363701653805	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0068-01A	TCGA-02-0068-01A-01R	1.80	108 uL	RNA	R	b1b28ee5-066f-4d0d-850e-cb54f39d0e81	0.186 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.1	8.9
TCGA-02-0068-01A	TCGA-02-0068-01A-01T	[Pending]	54 uL	Total RNA	T	9d9b405d-6cb0-42fd-b208-6a6be80da4ab	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0068-01A	TCGA-02-0068-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	fa471b2a-11cc-40d1-b29a-ae3790fb9b5f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0068-10A	TCGA-02-0068-10A-01D	1.90	1 uL	DNA	D	734ad8f8-1d1a-48b3-873e-f08d8760d987	0.500 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-02-0068-10A	TCGA-02-0068-10A-01G	1.8	40 uL	GenomePlex (Rubicon) Amplified DNA	G	97211bf3-77d4-492c-a77b-f46d2334b13d	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0068-10A	TCGA-02-0068-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e5c6be1c-54e3-4f2a-86cd-f55765e0e816	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0246-01A	TCGA-08-0246-01A-01D	1.90	107 uL	DNA	D	668bbbff-99bc-4d7f-b6fc-3a356c7dbf58	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0246-01A	TCGA-08-0246-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	1f124dfa-8e03-48ea-9fea-b4f835ad4d55	.19 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0246-01A	TCGA-08-0246-01A-01R	1.80	159 uL	RNA	R	e82ddb98-1066-42ec-9faa-78853bbb44c9	0.170 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.0	8.6
TCGA-08-0246-01A	TCGA-08-0246-01A-01T	[Pending]	41 uL	Total RNA	T	ef773ca9-2fd2-4cc8-a1de-0f92b36d6e12	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0246-01A	TCGA-08-0246-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	a2dd8948-5b17-4610-8a35-086fad76ea8f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0246-11A	TCGA-08-0246-11A-01D	1.80	4 uL	DNA	D	867234d3-58e4-4e1e-b2db-a25770add698	0.150 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0246-11A	TCGA-08-0246-11A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	7633e0f6-ffec-49ca-8b69-71ce9f3f8159	0.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0246-11A	TCGA-08-0246-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	dc5293d9-388a-4313-8b0c-ae0b88a1e6dd	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0347-01A	TCGA-08-0347-01A-01D	1.90	11 uL	DNA	D	ad48fb49-ce58-4e32-a6cd-7460861e942f	0.150 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0347-01A	TCGA-08-0347-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	e7b8c9b9-2c12-4c7b-8680-55008624add3	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0347-01A	TCGA-08-0347-01A-01R	1.80	138 uL	RNA	R	a8d8d0e5-e40d-40a5-b294-a0df6204bc5d	0.190 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	7.9
TCGA-08-0347-01A	TCGA-08-0347-01A-01T	[Pending]	21 uL	Total RNA	T	94125828-9a52-43cc-a761-49114275274e	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0347-01A	TCGA-08-0347-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	938b29d1-25ab-4f1c-a76a-40978b13c85f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
