Platform Type	Center	Platform	Level	Sample	Barcode	File Name
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0014-01	TCGA-02-0014-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0014-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0015-01	TCGA-02-0015-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0015-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0016-01	TCGA-02-0016-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0016-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0021-01	TCGA-02-0021-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0021-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0023-01	TCGA-02-0023-01B-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0023-01B-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0024-01	TCGA-02-0024-01B-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0024-01B-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0025-01	TCGA-02-0025-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0025-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0026-01	TCGA-02-0026-01B-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0026-01B-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0027-01	TCGA-02-0027-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0027-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0028-01	TCGA-02-0028-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0028-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0033-01	TCGA-02-0033-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0033-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0034-01	TCGA-02-0034-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0034-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0038-01	TCGA-02-0038-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0038-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0039-01	TCGA-02-0039-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0039-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0043-01	TCGA-02-0043-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0043-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0046-01	TCGA-02-0046-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0046-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0047-01	TCGA-02-0047-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0047-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0048-01	TCGA-02-0048-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0048-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0051-01	TCGA-02-0051-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0051-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0052-01	TCGA-02-0052-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0052-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0054-01	TCGA-02-0054-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0054-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0057-01	TCGA-02-0057-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0057-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0058-01	TCGA-02-0058-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0058-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0059-01	TCGA-02-0059-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0059-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0060-01	TCGA-02-0060-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0060-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0064-01	TCGA-02-0064-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0064-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0068-01	TCGA-02-0068-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0068-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0069-01	TCGA-02-0069-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0069-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0070-01	TCGA-02-0070-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0070-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0071-01	TCGA-02-0071-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0071-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0074-01	TCGA-02-0074-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0074-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0075-01	TCGA-02-0075-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0075-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0079-01	TCGA-02-0079-01A-03R-0306-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0079-01A-03R-0306-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0080-01	TCGA-02-0080-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0080-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0083-01	TCGA-02-0083-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0083-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0084-01	TCGA-02-0084-01A-03R-0306-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0084-01A-03R-0306-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0085-01	TCGA-02-0085-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0085-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0086-01	TCGA-02-0086-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0086-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0087-01	TCGA-02-0087-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0087-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0089-01	TCGA-02-0089-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0089-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0099-01	TCGA-02-0099-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0099-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0102-01	TCGA-02-0102-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0102-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0104-01	TCGA-02-0104-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0104-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0106-01	TCGA-02-0106-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0106-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0107-01	TCGA-02-0107-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0107-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0111-01	TCGA-02-0111-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0111-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0113-01	TCGA-02-0113-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0113-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0114-01	TCGA-02-0114-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0114-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0115-01	TCGA-02-0115-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0115-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0116-01	TCGA-02-0116-01A-01R-0202-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0116-01A-01R-0202-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0258-01	TCGA-02-0258-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0258-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0260-01	TCGA-02-0260-01A-03R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0260-01A-03R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0266-01	TCGA-02-0266-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0266-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0269-01	TCGA-02-0269-01B-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0269-01B-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0271-01	TCGA-02-0271-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0271-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0281-01	TCGA-02-0281-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0281-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0285-01	TCGA-02-0285-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0285-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0289-01	TCGA-02-0289-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0289-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0290-01	TCGA-02-0290-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0290-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0317-01	TCGA-02-0317-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0317-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0321-01	TCGA-02-0321-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0321-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0324-01	TCGA-02-0324-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0324-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0325-01	TCGA-02-0325-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0325-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0326-01	TCGA-02-0326-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0326-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0330-01	TCGA-02-0330-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0330-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0332-01	TCGA-02-0332-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0332-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0333-01	TCGA-02-0333-01A-02R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0333-01A-02R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0337-01	TCGA-02-0337-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0337-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0338-01	TCGA-02-0338-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0338-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0339-01	TCGA-02-0339-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0339-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0422-01	TCGA-02-0422-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0422-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0430-01	TCGA-02-0430-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0430-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0432-01	TCGA-02-0432-01A-02R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0432-01A-02R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0439-01	TCGA-02-0439-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0439-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0440-01	TCGA-02-0440-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0440-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0446-01	TCGA-02-0446-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0446-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0451-01	TCGA-02-0451-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0451-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0456-01	TCGA-02-0456-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0456-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-2466-01	TCGA-02-2466-01A-01R-0789-01	broad.mit.edu__HT_HG-U133A__TCGA-02-2466-01A-01R-0789-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-2470-01	TCGA-02-2470-01A-01R-0789-01	broad.mit.edu__HT_HG-U133A__TCGA-02-2470-01A-01R-0789-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-2483-01	TCGA-02-2483-01A-01R-0789-01	broad.mit.edu__HT_HG-U133A__TCGA-02-2483-01A-01R-0789-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-2485-01	TCGA-02-2485-01A-01R-0789-01	broad.mit.edu__HT_HG-U133A__TCGA-02-2485-01A-01R-0789-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-2486-01	TCGA-02-2486-01A-01R-0789-01	broad.mit.edu__HT_HG-U133A__TCGA-02-2486-01A-01R-0789-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0122-01	TCGA-06-0122-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0122-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0124-01	TCGA-06-0124-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0124-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0125-01	TCGA-06-0125-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0125-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0126-01	TCGA-06-0126-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0126-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0127-01	TCGA-06-0127-01A-01R-0306-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0127-01A-01R-0306-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0128-01	TCGA-06-0128-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0128-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0129-01	TCGA-06-0129-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0129-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0130-01	TCGA-06-0130-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0130-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0132-01	TCGA-06-0132-01A-02R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0132-01A-02R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0133-01	TCGA-06-0133-01A-02R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0133-01A-02R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0137-01	TCGA-06-0137-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0137-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0137-01	TCGA-06-0137-01A-02R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0137-01A-02R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0137-01	TCGA-06-0137-01A-03R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0137-01A-03R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0137-01	TCGA-06-0137-01B-02R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0137-01B-02R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0138-01	TCGA-06-0138-01A-01R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0138-01A-01R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0138-01	TCGA-06-0138-01A-02R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0138-01A-02R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0139-01	TCGA-06-0139-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0139-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0140-01	TCGA-06-0140-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0140-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0141-01	TCGA-06-0141-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0141-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0142-01	TCGA-06-0142-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0142-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0143-01	TCGA-06-0143-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0143-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-02R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-02R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-03R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-04R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-04R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-05R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-05R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0145-01	TCGA-06-0145-01A-06R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0145-01A-06R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0146-01	TCGA-06-0146-01A-01R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0146-01A-01R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0147-01	TCGA-06-0147-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0147-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0148-01	TCGA-06-0148-01A-01R-0219-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0148-01A-01R-0219-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0148-01	TCGA-06-0148-01A-03R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0148-01A-03R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0148-01	TCGA-06-0148-01A-04R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0148-01A-04R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0148-01	TCGA-06-0148-01A-05R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0148-01A-05R-0233-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0149-01	TCGA-06-0149-01A-05R-0280-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0149-01A-05R-0280-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0152-01	TCGA-06-0152-01A-02R-0306-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0152-01A-02R-0306-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-06-0154-01	TCGA-06-0154-01A-02R-0233-01	broad.mit.edu__HT_HG-U133A__TCGA-06-0154-01A-02R-0233-01__gene_expression_analysis.txt
